,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
0,2011-06-19,MSIL IB Equity,JSTL IB Equity,1227.6,88.79,0.07232811990876509,1.0,0
1,2011-06-19,JSTL IB Equity,MSIL IB Equity,88.79,1227.6,1.0,0.07232811990876509,0.0
2,2011-06-26,BHARTI IB Equity,IIB IB Equity,350.86,251.05,0.7155275608504816,1.0,0
3,2011-07-03,HDFCB IB Equity,TTAN IB Equity,241.63,212.05,0.8775814261474155,1.0,0
4,2011-07-10,BAF IB Equity,BHARTI IB Equity,61.33,346.22,5.645198108592859,1.0,0
5,2011-07-17,IIB IB Equity,BHARTI IB Equity,281.05,352.66,1.0,0.7155275608504816,-28.712050390469123
6,2011-07-17,TTAN IB Equity,HDFCB IB Equity,228.5,252.34,1.0,0.8775814261474155,-7.051102925961162
7,2011-07-17,BHARTI IB Equity,BAF IB Equity,352.66,62.18,1.0,5.645198108592859,-1.64158160769606
8,2011-07-24,HCLT IB Equity,TCS IB Equity,126.0,562.7,4.465873015873016,1.0,0
9,2011-07-24,UTCEM IB Equity,APNT IB Equity,991.65,317.11,0.3197801643725105,1.0,0
10,2011-07-24,MSIL IB Equity,INFO IB Equity,1172.15,339.26,0.2894339461672994,1.0,0
11,2011-07-31,INFO IB Equity,MSIL IB Equity,350.83,1181.7,1.0,0.2894339461672994,-8.805905814102298
12,2011-08-14,TCS IB Equity,HCLT IB Equity,504.63,104.75,1.0,4.465873015873016,-36.829801587301546
13,2011-08-14,APNT IB Equity,UTCEM IB Equity,307.44,965.4,1.0,0.3197801643725105,1.275770685221616
14,2011-08-21,MM IB Equity,BHARTI IB Equity,370.15,350.86,0.9478859921653384,1.0,0
15,2011-09-11,BHARTI IB Equity,MM IB Equity,365.82,384.5,1.0,0.9478859921653384,-1.3578360124273523
16,2011-09-18,HUVR IB Equity,NEST IB Equity,345.9,4290.5,12.403873952009253,1.0,0
17,2011-10-02,HCLT IB Equity,TTAN IB Equity,96.38,207.4,2.1518987341772156,1.0,0
18,2011-10-09,NEST IB Equity,HUVR IB Equity,4173.0,334.45,1.0,12.403873952009253,-24.524356750505802
19,2011-10-09,TTAN IB Equity,HCLT IB Equity,204.3,100.4,1.0,2.1518987341772156,11.750632911392422
20,2011-10-16,NTPC IB Equity,IIB IB Equity,142.08,250.95,1.7662584459459456,1.0,0
21,2011-10-16,TATA IB Equity,SBIN IB Equity,40.64,175.46,4.3174212598425195,1.0,0
22,2011-11-06,IIB IB Equity,NTPC IB Equity,287.3,149.46,1.0,1.7662584459459456,-23.315012668918953
23,2011-11-06,SBIN IB Equity,TATA IB Equity,190.67,45.31,1.0,4.3174212598425195,4.952357283464593
24,2011-12-25,HCLT IB Equity,SUNP IB Equity,102.93,253.5,2.4628388225007285,1.0,0
25,2012-01-01,SUNP IB Equity,HCLT IB Equity,250.4,97.0,1.0,2.4628388225007285,-11.504634217429343
26,2012-01-15,TTAN IB Equity,TCS IB Equity,175.6,585.83,3.3361617312072895,1.0,0
27,2012-01-22,SBIN IB Equity,INFO IB Equity,181.67,329.26,1.8124071117961138,1.0,0
28,2012-01-29,TCS IB Equity,TTAN IB Equity,539.22,191.45,1.0,3.3361617312072895,99.48816343963554
29,2012-01-29,INFO IB Equity,SBIN IB Equity,324.99,194.07,1.0,1.8124071117961138,26.743848186271805
30,2012-02-05,NEST IB Equity,ITC IB Equity,4242.75,133.97,0.03157621825466973,1.0,0
31,2012-02-26,ITC IB Equity,NEST IB Equity,136.87,4355.85,1.0,0.03157621825466973,0.6712702846031524
32,2012-03-11,BHARTI IB Equity,BAF IB Equity,314.27,74.04,0.2355935978617113,1.0,0
33,2012-03-18,BAF IB Equity,RELIANCE IB Equity,77.79,359.61,4.622830698033166,1.0,0
34,2012-03-18,LT IB Equity,JSTL IB Equity,599.18,76.44,0.1275743516138723,1.0,0
35,2012-03-25,RELIANCE IB Equity,BAF IB Equity,340.64,76.59,1.0,4.622830698033166,13.422603162360215
36,2012-03-25,BAF IB Equity,BHARTI IB Equity,76.59,293.0,1.0,0.2355935978617113,-7.561075826518592
37,2012-03-25,JSTL IB Equity,LT IB Equity,72.7,576.27,1.0,0.1275743516138723,0.817271604526185
38,2012-04-01,SUNP IB Equity,HCLT IB Equity,288.0,119.2,0.4138888888888889,1.0,0
39,2012-04-08,APNT IB Equity,UTCEM IB Equity,326.56,1491.45,4.567154581087702,1.0,0
40,2012-04-15,HCLT IB Equity,SUNP IB Equity,124.86,279.75,1.0,0.4138888888888889,-9.07458333333333
41,2012-04-22,KMB IB Equity,BHARTI IB Equity,292.1,285.56,0.9776104073947277,1.0,0
42,2012-04-22,UTCEM IB Equity,APNT IB Equity,1443.35,334.84,1.0,4.567154581087702,85.91603993140617
43,2012-04-22,BHARTI IB Equity,KMB IB Equity,285.56,292.1,1.0,0.9776104073947277,0.0
44,2012-07-01,SUNP IB Equity,TCS IB Equity,304.68,607.83,1.9949783379283184,1.0,0
45,2012-07-08,TCS IB Equity,SUNP IB Equity,630.1,317.43,1.0,1.9949783379283184,3.1659738085860774
46,2012-09-16,RELIANCE IB Equity,KMB IB Equity,357.0,285.58,0.7999439775910364,1.0,0
47,2012-09-23,BHARTI IB Equity,NTPC IB Equity,238.56,140.83,0.5903336686787392,1.0,0
48,2012-09-23,APNT IB Equity,NEST IB Equity,388.17,4473.85,11.525491408403536,1.0,0
49,2012-09-30,HDFCB IB Equity,HCLT IB Equity,317.23,139.35,0.4392711912492513,1.0,0
50,2012-09-30,UTCEM IB Equity,HUVR IB Equity,1827.5,518.1,0.28350205198358414,1.0,0
51,2012-10-07,HCLT IB Equity,HDFCB IB Equity,145.48,311.6,1.0,0.4392711912492513,-8.603096806733278
52,2012-10-07,KMB IB Equity,RELIANCE IB Equity,322.58,376.58,1.0,0.7999439775910364,-21.33709691876752
53,2012-10-07,NTPC IB Equity,BHARTI IB Equity,141.58,239.06,1.0,0.5903336686787392,-0.4548331656606304
54,2012-10-07,NEST IB Equity,APNT IB Equity,4430.35,393.96,1.0,11.525491408403536,110.23259525465605
55,2012-10-07,HUVR IB Equity,UTCEM IB Equity,542.65,2019.65,1.0,0.28350205198358414,29.92491928864576
56,2012-10-14,SUNP IB Equity,HDFCB IB Equity,354.45,310.43,0.8758075892227395,1.0,0
57,2012-10-21,HDFCB IB Equity,SUNP IB Equity,316.35,357.23,1.0,0.8758075892227395,-3.4852549019607744
58,2012-10-28,HCLT IB Equity,SUNP IB Equity,152.78,349.8,2.289566697211677,1.0,0
59,2012-11-04,MM IB Equity,KMB IB Equity,444.03,305.02,0.686935567416616,1.0,0
60,2012-11-04,SUNP IB Equity,HCLT IB Equity,343.7,152.61,1.0,2.289566697211677,5.710773661474066
61,2012-11-04,KMB IB Equity,MM IB Equity,305.02,444.03,1.0,0.686935567416616,0.0
62,2012-11-18,APNT IB Equity,ITC IB Equity,408.79,189.33,0.4631473372636317,1.0,0
63,2012-11-25,ITC IB Equity,APNT IB Equity,187.97,387.49,1.0,0.4631473372636317,-8.505038283715347
64,2012-12-09,KMB IB Equity,BAF IB Equity,332.68,133.09,0.4000541060478538,1.0,0
65,2012-12-16,RELIANCE IB Equity,MM IB Equity,373.38,464.23,1.2433177995607692,1.0,0
66,2012-12-16,TATA IB Equity,INFO IB Equity,37.55,288.7,7.688415446071905,1.0,0
67,2012-12-30,BAF IB Equity,KMB IB Equity,127.3,322.88,1.0,0.4000541060478538,1.8694697607310347
68,2012-12-30,MM IB Equity,RELIANCE IB Equity,468.33,370.01,1.0,1.2433177995607692,-8.289980984519763
69,2012-12-30,INFO IB Equity,TATA IB Equity,289.87,40.19,1.0,7.688415446071905,19.12741677762982
70,2013-01-20,IIB IB Equity,NTPC IB Equity,439.5,128.71,0.2928555176336746,1.0,0
71,2013-01-27,NTPC IB Equity,IIB IB Equity,134.79,413.3,3.066251205579049,1.0,0
72,2013-01-27,NTPC IB Equity,IIB IB Equity,134.79,413.3,1.0,0.2928555176336746,-13.752814562002257
73,2013-01-27,IIB IB Equity,NTPC IB Equity,413.3,134.79,1.0,3.066251205579049,0.0
74,2013-02-10,KMB IB Equity,BHARTI IB Equity,337.03,298.27,0.8849954010028781,1.0,0
75,2013-02-10,AXSB IB Equity,ICICIBC IB Equity,296.22,214.92,0.7255418270204577,1.0,0
76,2013-02-17,SUNP IB Equity,HCLT IB Equity,374.43,164.85,0.4402692091979809,1.0,0
77,2013-02-24,ICICIBC IB Equity,AXSB IB Equity,203.95,286.53,1.0,0.7255418270204577,3.9394996961717244
78,2013-02-24,BHARTI IB Equity,KMB IB Equity,282.86,332.38,1.0,0.8849954010028781,11.294771385336606
79,2013-02-24,HCLT IB Equity,SUNP IB Equity,172.75,393.88,1.0,0.4402692091979809,0.6632361189007181
80,2013-04-07,TTAN IB Equity,SUNP IB Equity,255.45,407.0,1.593266784106479,1.0,0
81,2013-04-14,SUNP IB Equity,HCLT IB Equity,433.58,186.3,0.42967849070529085,1.0,0
82,2013-04-21,HDFCB IB Equity,TTAN IB Equity,321.18,238.8,0.7435083130954605,1.0,0
83,2013-04-21,SUNP IB Equity,TTAN IB Equity,435.15,238.8,1.0,1.593266784106479,-54.677891955372814
84,2013-04-21,HCLT IB Equity,SUNP IB Equity,191.43,435.15,1.0,0.42967849070529085,-4.4554047695926915
85,2013-04-21,TTAN IB Equity,HDFCB IB Equity,238.8,321.18,1.0,0.7435083130954605,0.0
86,2013-06-23,RELIANCE IB Equity,KMB IB Equity,372.31,377.4,1.0136714028632052,1.0,0
87,2013-06-23,HCLT IB Equity,TCS IB Equity,194.19,726.18,3.73953344662444,1.0,0
88,2013-06-30,KMB IB Equity,RELIANCE IB Equity,348.43,357.97,1.0,1.0136714028632052,14.433952082941634
89,2013-07-14,TCS IB Equity,HCLT IB Equity,754.3,204.5,1.0,3.73953344662444,10.43458983469798
90,2013-09-15,SBIN IB Equity,INFO IB Equity,163.32,377.61,2.31208670095518,1.0,0
91,2013-09-22,SUNP IB Equity,HCLT IB Equity,562.45,249.13,0.44293714996888606,1.0,0
92,2013-09-22,AXSB IB Equity,WPRO IB Equity,216.86,169.11,0.7798118601862953,1.0,0
93,2013-10-06,NEST IB Equity,HUVR IB Equity,5198.55,627.4,0.12068749939887083,1.0,0
94,2013-10-06,INFO IB Equity,SBIN IB Equity,376.93,161.53,1.0,2.31208670095518,-3.458635194709747
95,2013-10-06,HCLT IB Equity,SUNP IB Equity,272.08,592.55,1.0,0.44293714996888606,-9.61759178593656
96,2013-10-06,WPRO IB Equity,AXSB IB Equity,177.77,201.46,1.0,0.7798118601862953,-20.66910264686895
97,2013-10-06,HUVR IB Equity,NEST IB Equity,627.4,5198.55,1.0,0.12068749939887083,0.0
98,2013-12-29,RELIANCE IB Equity,KMB IB Equity,404.04,366.33,0.9066676566676566,1.0,0
99,2013-12-29,KMB IB Equity,RELIANCE IB Equity,366.33,404.04,1.0,0.9066676566676566,0.0
100,2014-01-05,INFO IB Equity,TATA IB Equity,437.71,39.86,0.09106486029562953,1.0,0
101,2014-01-12,TATA IB Equity,INFO IB Equity,38.3,439.27,1.0,0.09106486029562953,1.7020611820611846
102,2014-01-19,SUNP IB Equity,TTAN IB Equity,602.45,221.1,0.3670014109054693,1.0,0
103,2014-01-19,INFO IB Equity,JSTL IB Equity,458.21,101.63,0.22179786560747256,1.0,0
104,2014-01-26,TTAN IB Equity,SUNP IB Equity,216.45,589.35,1.0,0.3670014109054693,-0.15771848286165024
105,2014-01-26,JSTL IB Equity,INFO IB Equity,98.72,468.74,1.0,0.22179786560747256,5.2455315248466885
106,2014-03-09,ITC IB Equity,HUVR IB Equity,219.1,543.0,2.4783204016430855,1.0,0
107,2014-03-16,HUVR IB Equity,ITC IB Equity,556.9,223.7,1.0,2.4783204016430855,-2.4997261524417986
108,2014-03-16,MSIL IB Equity,INFO IB Equity,1800.9,459.09,0.25492253873063464,1.0,0
109,2014-03-23,INFO IB Equity,MSIL IB Equity,423.68,1737.1,1.0,0.25492253873063464,19.14594202898543
110,2014-04-27,TCS IB Equity,TTAN IB Equity,1110.25,259.3,0.23355100202657061,1.0,0
111,2014-05-18,NTPC IB Equity,BHARTI IB Equity,101.08,286.37,2.8331024930747923,1.0,0
112,2014-05-18,HDFCB IB Equity,TCS IB Equity,395.98,1079.85,2.727031668266074,1.0,0
113,2014-05-18,TTAN IB Equity,TCS IB Equity,284.65,1079.85,1.0,0.23355100202657061,-32.449950461607735
114,2014-05-18,BHARTI IB Equity,NTPC IB Equity,286.37,101.08,1.0,2.8331024930747923,0.0
115,2014-05-18,TCS IB Equity,HDFCB IB Equity,1079.85,395.98,1.0,2.727031668266074,0.0
116,2014-05-25,BHARTI IB Equity,BAF IB Equity,304.9,179.89,0.589996720236143,1.0,0
117,2014-05-25,UTCEM IB Equity,ITC IB Equity,2334.0,225.37,0.09655955441302486,1.0,0
118,2014-06-01,BAF IB Equity,BHARTI IB Equity,202.13,304.81,1.0,0.589996720236143,-22.29309970482125
119,2014-06-15,ITC IB Equity,UTCEM IB Equity,225.77,2797.9,1.0,0.09655955441302486,44.39397729220224
120,2014-06-22,INFO IB Equity,SBIN IB Equity,405.27,257.93,0.6364399042613567,1.0,0
121,2014-07-13,MSIL IB Equity,TATA IB Equity,2640.25,50.29,0.019047438689518036,1.0,0
122,2014-07-13,SBIN IB Equity,INFO IB Equity,268.24,417.97,1.0,0.6364399042613567,-2.2272132158807434
123,2014-07-13,TATA IB Equity,MSIL IB Equity,50.29,2640.25,1.0,0.019047438689518036,0.0
124,2014-09-28,ITC IB Equity,HUVR IB Equity,247.1,742.1,3.0032375556454878,1.0,0
125,2014-10-05,HUVR IB Equity,ITC IB Equity,746.65,244.27,1.0,3.0032375556454878,-13.049162282476637
126,2014-10-12,NTPC IB Equity,BHARTI IB Equity,115.79,363.34,3.1379221003540887,1.0,0
127,2014-11-02,BHARTI IB Equity,NTPC IB Equity,372.4,121.58,1.0,3.1379221003540887,9.108568961050146
128,2014-11-23,APNT IB Equity,HUVR IB Equity,691.75,755.85,1.092663534513914,1.0,0
129,2014-11-30,TCS IB Equity,SUNP IB Equity,1326.1,837.0,0.6311741195988236,1.0,0
130,2014-11-30,HUVR IB Equity,APNT IB Equity,750.0,689.75,1.0,1.092663534513914,3.664672930972195
131,2014-11-30,SUNP IB Equity,TCS IB Equity,837.0,1326.1,1.0,0.6311741195988236,0.0
132,2014-12-28,MM IB Equity,IIB IB Equity,630.95,777.25,1.2318725731040494,1.0,0
133,2014-12-28,IIB IB Equity,MM IB Equity,777.25,630.95,1.0,1.2318725731040494,0.0
134,2015-01-11,NTPC IB Equity,MM IB Equity,120.42,609.7,5.063112439794055,1.0,0
135,2015-01-18,KMB IB Equity,BAF IB Equity,686.5,345.14,0.5027530954115076,1.0,0
136,2015-01-18,TTMT IB Equity,AXSB IB Equity,516.86,501.55,0.9703788259876949,1.0,0
137,2015-01-25,MM IB Equity,IIB IB Equity,666.13,830.2,1.2463032741356792,1.0,0
138,2015-01-25,MM IB Equity,NTPC IB Equity,666.13,118.25,1.0,5.063112439794055,-67.41695399435307
139,2015-01-25,BAF IB Equity,KMB IB Equity,389.26,694.5,1.0,0.5027530954115076,-40.097975236707946
140,2015-01-25,AXSB IB Equity,TTMT IB Equity,528.65,533.03,1.0,0.9703788259876949,-11.408974383778979
141,2015-01-25,IIB IB Equity,MM IB Equity,830.2,666.13,1.0,1.2463032741356792,0.0
142,2015-02-22,ITC IB Equity,HUVR IB Equity,259.7,907.2,3.493261455525607,1.0,0
143,2015-02-22,HUVR IB Equity,ITC IB Equity,907.2,259.7,1.0,3.493261455525607,0.0
144,2015-03-08,UTCEM IB Equity,ITC IB Equity,3374.9,228.87,0.06781534267682006,1.0,0
145,2015-03-15,RELIANCE IB Equity,BAF IB Equity,391.97,421.06,1.0742148633824016,1.0,0
146,2015-03-15,SUNP IB Equity,HDFCB IB Equity,1041.65,529.58,0.5084049344789516,1.0,0
147,2015-03-15,NEST IB Equity,UTCEM IB Equity,7370.15,3064.75,0.4158327849501028,1.0,0
148,2015-03-22,BHARTI IB Equity,IIB IB Equity,350.72,877.5,2.5019958941605838,1.0,0
149,2015-03-22,ITC IB Equity,UTCEM IB Equity,223.67,2912.25,1.0,0.06781534267682006,-26.17476828943079
150,2015-03-22,BAF IB Equity,RELIANCE IB Equity,400.54,379.96,1.0,1.0742148633824016,7.6186794907772875
151,2015-03-22,HDFCB IB Equity,SUNP IB Equity,525.72,1028.2,1.0,0.5084049344789516,-2.978046368741909
152,2015-03-22,UTCEM IB Equity,NEST IB Equity,2912.25,7286.45,1.0,0.4158327849501028,117.69479589967648
153,2015-03-22,IIB IB Equity,BHARTI IB Equity,877.5,350.72,1.0,2.5019958941605838,0.0
154,2015-06-07,IIB IB Equity,BAF IB Equity,882.75,437.39,0.4954856981025205,1.0,0
155,2015-06-14,BAF IB Equity,IIB IB Equity,446.38,811.4,1.0,0.4954856981025205,-44.34290455961486
156,2015-06-21,BAF IB Equity,MM IB Equity,471.53,610.33,1.2943609102284055,1.0,0
157,2015-06-28,MM IB Equity,BAF IB Equity,654.33,535.95,1.0,1.2943609102284055,39.38272983691398
158,2015-07-05,NTPC IB Equity,BHARTI IB Equity,115.63,372.67,3.222952520972066,1.0,0
159,2015-07-12,BHARTI IB Equity,NTPC IB Equity,390.61,114.96,1.0,3.222952520972066,-20.099378189051286
160,2015-07-26,NTPC IB Equity,BAF IB Equity,112.96,517.1,4.577726628895185,1.0,0
161,2015-08-09,BAF IB Equity,RELIANCE IB Equity,567.77,451.75,0.7956566919703402,1.0,0
162,2015-08-09,BAF IB Equity,NTPC IB Equity,567.77,112.58,1.0,4.577726628895185,-52.40953611898011
